volume_frac,n_train,n_test,rung,params,log_loss,auc,brier,ece,delta_vs,delta,ci_lo,ci_hi,significant,achieved_power,temperature,tau
0.1,4500,1500,M0,107,0.6922206027200261,0.5226958467865518,0.24953721599976178,0.04484620948916395,,,,,,,0.772363624034679,"{""solo_global"":0.04}"
0.1,4500,1500,M1,3745,0.6913933985089368,0.5337773786359328,0.24912413610065376,0.03597349661421004,M0,0.0008272042110910157,-0.0003402329880606049,0.0019578149136653955,0,0.9995994801740017,0.7333513413579268,"{""solo_global"":0.04,""solo_mode"":0.04,""solo_map"":0.005}"
0.1,4500,1500,M2,9416,0.691224990867931,0.5455591905973586,0.2490374172398931,0.03360762338509758,M1,0.00016840764100476555,-0.0016232715966338685,0.00201741490404067,0,0.019041913038179814,1.154407556258926,"{""solo_global"":0.02,""solo_mode"":0.08,""solo_map"":0.005,""syn_global"":0.08}"
0.1,4500,1500,M3,9416,0.6927243051352459,0.5591727785261688,0.2497885661268394,0.041466688686062736,M1,-0.0013309066263106732,-0.0039054222643001043,0.0013161994139394596,0,0.022199819381969466,10,"{""solo_global"":0.005,""solo_mode"":0.04,""solo_map"":0.005,""ctr_global"":0.08}"
0.1,4500,1500,M4,15087,0.692721994348038,0.5579022957783623,0.24978741062633955,0.04929112416259246,M1,-0.0013285958391030966,-0.003884856481335513,0.0014127430958981802,0,0.028815421215460213,10,"{""solo_global"":0.005,""solo_mode"":0.04,""solo_map"":0.005,""syn_global"":0.04,""ctr_global"":0.08}"
0.1,4500,1500,M5,15099,0.689690051517717,0.5509244410232287,0.24827275674258248,0.04186984831003996,M4,0.0030319428303220174,-0.00109602764226968,0.00700174833742637,0,0.08439711948880935,0.9316130924920181,"{""solo_global"":0.04,""solo_mode"":0.04,""solo_map"":0.005,""syn_global"":0.08,""ctr_global"":0.08,""theory"":0.005}"
0.1,4500,1500,M8,15089,0.6874810666067889,0.5727079635925617,0.2471559513798713,0.04510987177044819,M4,0.0052409277412485585,0.0007342867618729407,0.00998624121875246,1,0.9995994801740017,0.6659421758892874,"{""solo_global"":0.005,""solo_mode"":0.04,""solo_map"":0.005,""syn_global"":0.04,""ctr_global"":0.08,""controls"":0.6}"
0.5,22497,7499,M0,107,0.688287734875234,0.5553002565612035,0.24758214979709206,0.021636123356691614,,,,,,,1.0404921676330559,"{""solo_global"":0.08}"
0.5,22497,7499,M1,3745,0.6844389535890438,0.5760772469164712,0.2456798472657255,0.02037586110936347,M0,0.003848781286191636,0.0016819055327756032,0.0059260406522232455,1,1,1.1932940691584182,"{""solo_global"":0.08,""solo_mode"":0.08,""solo_map"":0.08}"
0.5,22497,7499,M2,9416,0.6846352342085864,0.5752492629947239,0.2457769942252243,0.023375330202304628,M1,-0.00019628061954527677,-0.0009456875681700887,0.0005307361048632453,0,0.2063884638117356,1.058602098049658,"{""solo_global"":0.08,""solo_mode"":0.04,""solo_map"":0.08,""syn_global"":0.005}"
0.5,22497,7499,M3,9416,0.6923983939481909,0.557361324785656,0.2496256316856087,0.04362154481712837,M1,-0.007959440359148414,-0.011058260995190012,-0.004934806754609657,1,0.30453742648187365,10,"{""solo_global"":0.02,""solo_mode"":0.01,""solo_map"":0.04,""ctr_global"":0.08}"
0.5,22497,7499,M4,15087,0.6879619115438039,0.5567796731938925,0.24742811088238756,0.016540711513096995,M1,-0.0035229579547615395,-0.0062544337726254794,-0.0008353091405258361,1,0.5164355257275022,0.6674802207728349,"{""solo_global"":0.01,""solo_mode"":0.02,""solo_map"":0.02,""syn_global"":0.04,""ctr_global"":0.08}"
0.5,22497,7499,M5,15099,0.6927060052218772,0.5496002559067832,0.24977941820036503,0.03771833934527424,M4,-0.0047440936780690085,-0.007817302158422102,-0.0015334172101556954,1,0.8265353284417973,10,"{""solo_global"":0.02,""solo_mode"":0.01,""solo_map"":0.02,""syn_global"":0.005,""ctr_global"":0.005,""theory"":0.04}"
0.5,22497,7499,M8,15089,0.6918489847159351,0.5776829239839627,0.24935095060673323,0.055197051387270143,M4,-0.0038870731721303716,-0.006827172819294639,-0.0007869031563700309,1,1,10,"{""solo_global"":0.02,""solo_mode"":0.005,""solo_map"":0.005,""syn_global"":0.04,""ctr_global"":0.08,""controls"":0.6}"
1,44993,14998,M0,107,0.687655758172096,0.558212536992198,0.2472716609355566,0.015286440429895052,,,,,,,1.1333198502645063,"{""solo_global"":0.08}"
1,44993,14998,M1,3745,0.6830105894489154,0.5788777050718499,0.24499373418719456,0.01233702571432873,M0,0.004645168723187545,0.0028417524155959365,0.006342724549397937,1,1,0.940881629699541,"{""solo_global"":0.08,""solo_mode"":0.04,""solo_map"":0.08}"
1,44993,14998,M2,9416,0.6860519216860494,0.5681352463663711,0.24647453465986,0.010875860918936255,M1,-0.003041332237133098,-0.004888159263633441,-0.0011261054604632802,1,0.7574566759553006,0.7985706825003869,"{""solo_global"":0.005,""solo_mode"":0.005,""solo_map"":0.08,""syn_global"":0.08}"
1,44993,14998,M3,9416,0.6858887052820175,0.5671985983542224,0.24640214968304752,0.011429224703951139,M1,-0.002878115833105547,-0.005193520472429733,-0.0007218121255082215,1,0.9014811491847052,0.8484146159375942,"{""solo_global"":0.005,""solo_mode"":0.005,""solo_map"":0.01,""ctr_global"":0.08}"
1,44993,14998,M4,15087,0.6853661947501233,0.569201937935374,0.24614458423223085,0.021860888656717148,M1,-0.002355605301212626,-0.003843149208500132,-0.0008136233358939888,1,0.9913453778503122,0.9561799057493486,"{""solo_global"":0.08,""solo_mode"":0.01,""solo_map"":0.02,""syn_global"":0.005,""ctr_global"":0.04}"
1,44993,14998,M5,15099,0.6876765239566227,0.5584728731292676,0.24728108281443123,0.013188033035377765,M4,-0.0023103292065053214,-0.003158114173645656,-0.0015082453870334674,1,0.9986726290837734,0.8088874566212821,"{""solo_global"":0.04,""solo_mode"":0.005,""solo_map"":0.005,""syn_global"":0.005,""ctr_global"":0.005,""theory"":0.01}"
1,44993,14998,M8,15089,0.6788091149729246,0.5952774765039788,0.24286957868079773,0.00965128077393662,M4,0.0065570797772022595,0.004363956128179907,0.00892345851680377,1,1,0.7345662272746947,"{""solo_global"":0.08,""solo_mode"":0.01,""solo_map"":0.02,""syn_global"":0.005,""ctr_global"":0.04,""controls"":0.6}"
1,44993,14998,P_map,3745,0.6830105894489154,0.5788777050718499,0.24499373418719456,0.01233702571432873,P_mode,0.00012291656515938133,-0.0012609213228931065,0.0016215265713513149,0,,0.940881629699541,"{""solo_global"":0.08,""solo_mode"":0.04,""solo_map"":0.08}"
