slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Kaze + Colt",413,0.109917,0.065115,0.157400,0.00000,true
"GLOBAL (all modes, all maps)",pair,"Mortis + Bull",105,-0.205873,-0.295867,-0.115736,0.00001,true
"GLOBAL (all modes, all maps)",pair,"Mandy + Crow",219,-0.134312,-0.192995,-0.072949,0.00002,true
"GLOBAL (all modes, all maps)",pair,"Bea + Mortis",70,-0.212142,-0.311463,-0.109167,0.00005,true
"GLOBAL (all modes, all maps)",pair,"Max + Spike",152,0.143997,0.069692,0.218385,0.00018,false
"GLOBAL (all modes, all maps)",pair,"Melodie + Colt",290,0.104923,0.048180,0.161582,0.00029,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Colt",279,0.102478,0.044075,0.158936,0.00041,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Melodie",60,0.194028,0.084441,0.296488,0.00047,false
"GLOBAL (all modes, all maps)",pair,"Ash + Crow",155,0.134693,0.058586,0.212519,0.00053,false
"GLOBAL (all modes, all maps)",pair,"Mico + Carl",98,0.155843,0.066966,0.243588,0.00054,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Lumi",136,-0.133679,-0.210165,-0.054942,0.00068,false
"GLOBAL (all modes, all maps)",pair,"Fang + Gene",60,0.207242,0.079942,0.323946,0.00073,false
"GLOBAL (all modes, all maps)",pair,"Meg + Barley",80,0.165934,0.073135,0.266867,0.00084,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Brock",681,0.062881,0.026580,0.102537,0.00094,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Griff",219,-0.110736,-0.176260,-0.042833,0.00104,false
"GLOBAL (all modes, all maps)",pair,"Lily + Edgar",94,-0.159550,-0.257019,-0.061598,0.00155,false
"GLOBAL (all modes, all maps)",pair,"Crow + Brock",1347,-0.041383,-0.066160,-0.014621,0.00158,false
"GLOBAL (all modes, all maps)",pair,"Leon + Brock",621,0.062736,0.025442,0.101766,0.00165,false
"GLOBAL (all modes, all maps)",pair,"Stu + Max",648,-0.061732,-0.100340,-0.024303,0.00179,false
"GLOBAL (all modes, all maps)",pair,"Tick + Spike",108,-0.139899,-0.223086,-0.050084,0.00208,false
"GLOBAL (all modes, all maps)",pair,"Gene + Brock",552,0.064740,0.023999,0.106000,0.00212,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Edgar",102,0.135540,0.047048,0.217341,0.00219,false
"GLOBAL (all modes, all maps)",pair,"Byron + Colt",340,-0.075978,-0.126707,-0.024281,0.00268,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Otis",323,-0.078244,-0.129320,-0.023982,0.00321,false
"GLOBAL (all modes, all maps)",pair,"Tick + Penny",62,-0.175950,-0.294869,-0.058109,0.00325,false
"GLOBAL (all modes, all maps)",pair,"Surge + Frank",124,0.127533,0.035554,0.212369,0.00425,false
"GLOBAL (all modes, all maps)",pair,"Stu + Barley",90,0.137085,0.045388,0.232956,0.00467,false
"GLOBAL (all modes, all maps)",pair,"Griff + Brock",1312,-0.037689,-0.064718,-0.011204,0.00508,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Colt",230,-0.088805,-0.147949,-0.023714,0.00517,false
"GLOBAL (all modes, all maps)",pair,"Ash + Griff",217,0.090533,0.025726,0.154590,0.00554,false
"GLOBAL (all modes, all maps)",pair,"Buster + Gene",62,0.163959,0.041208,0.275669,0.00585,false
"GLOBAL (all modes, all maps)",pair,"Mina + Mortis",120,-0.126164,-0.217197,-0.037828,0.00601,false
"GLOBAL (all modes, all maps)",pair,"Damian + Tara",190,0.097266,0.029317,0.168000,0.00604,false
"GLOBAL (all modes, all maps)",pair,"Bo + Brock",489,-0.061279,-0.107860,-0.018815,0.00609,false
"GLOBAL (all modes, all maps)",pair,"Otis + Bull",155,0.109180,0.029010,0.185938,0.00615,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Colette",78,0.146879,0.041479,0.251242,0.00800,false
"GLOBAL (all modes, all maps)",pair,"Griff + Emz",841,-0.044269,-0.076844,-0.010166,0.00810,false
"GLOBAL (all modes, all maps)",triple,"Starr Nova + Griff + Brock",61,-0.162089,-0.279196,-0.040281,0.00826,false
