family,comp,n,residual,ci_lo,ci_hi,p,bh_fdr,bonferroni
rep,MRK+MRK+SUP,1023,0.047156,0.017429,0.077058,0.00400,false,false
7C3,ASN+MRK+TNK,1443,-0.039282,-0.064028,-0.012552,0.00467,false,false
7C3,CTL+DMG+SUP,2592,-0.024738,-0.043207,-0.006130,0.00933,false,false
rep,ASN+SUP+SUP,592,-0.049176,-0.088223,-0.008748,0.01200,false,false
7C2,SUP&CTL,10482,-0.011292,-0.020526,-0.001990,0.01533,false,false
7C2,TNK&MRK,6188,-0.015233,-0.027141,-0.002682,0.01733,false,false
7C3,ASN+DMG+TNK,4035,0.016538,0.002102,0.030967,0.02133,false,false
rep,CTL+DMG+DMG,3986,0.016862,0.001706,0.031824,0.02733,false,false
7C3,ASN+SUP+TNK,1488,0.027060,0.001942,0.052219,0.03600,false,false
rep,CTL+MRK+MRK,1185,-0.029547,-0.057810,-0.000977,0.04467,false,false
7C2,MRK&CTL,13889,-0.008037,-0.015596,-0.000045,0.04733,false,false
7C3,ART+CTL+TNK,525,0.041240,0.000253,0.080960,0.04867,false,false
7C2,ART&CTL,3569,0.015613,0.000131,0.030913,0.04867,false,false
rep,CTL+CTL+CTL,765,-0.034184,-0.068488,0.000594,0.05333,false,false
7C3,ART+ASN+MRK,585,0.037880,-0.001565,0.075808,0.06200,false,false
7C3,MRK+SUP+TNK,992,0.029144,-0.002171,0.059422,0.06667,false,false
7C2,DMG&SUP,11810,-0.008168,-0.016430,0.000386,0.06733,false,false
7C2,DMG&TNK,14204,0.007086,-0.000635,0.014771,0.07000,false,false
7C3,ART+ASN+DMG,1036,-0.026316,-0.056998,0.002605,0.07867,false,false
7C2,ASN&TNK,13527,0.006682,-0.000953,0.014509,0.07933,false,false
rep,DMG+DMG+TNK,1910,0.019441,-0.003197,0.041453,0.08000,false,false
7C3,CTL+MRK+SUP,1726,-0.019754,-0.042726,0.003438,0.09600,false,false
7C2,DMG&ART,4035,-0.011495,-0.025541,0.002733,0.10600,false,false
7C2,SUP&MRK,9396,0.007695,-0.001605,0.016780,0.10933,false,false
7C3,DMG+MRK+TNK,1548,-0.019280,-0.043260,0.004954,0.11600,false,false
